Notes	ICD-10 113 Cause List	ICD-10 113 Cause List Code	Ten-Year Age Groups	Ten-Year Age Groups Code	Gender	Gender Code	Census Region	Census Region Code	Deaths	Population	Crude Rate
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	35-44 years	35-44	Female	F	Census Region 2: Midwest	CENS-R2	38	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	35-44 years	35-44	Female	F	Census Region 3: South	CENS-R3	94	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	35-44 years	35-44	Female	F	Census Region 4: West	CENS-R4	53	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	35-44 years	35-44	Male	M	Census Region 1: Northeast	CENS-R1	22	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	35-44 years	35-44	Male	M	Census Region 2: Midwest	CENS-R2	26	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	35-44 years	35-44	Male	M	Census Region 3: South	CENS-R3	70	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	35-44 years	35-44	Male	M	Census Region 4: West	CENS-R4	39	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	45-54 years	45-54	Female	F	Census Region 1: Northeast	CENS-R1	130	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	45-54 years	45-54	Female	F	Census Region 2: Midwest	CENS-R2	127	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	45-54 years	45-54	Female	F	Census Region 3: South	CENS-R3	264	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	45-54 years	45-54	Female	F	Census Region 4: West	CENS-R4	147	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	45-54 years	45-54	Male	M	Census Region 1: Northeast	CENS-R1	131	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	45-54 years	45-54	Male	M	Census Region 2: Midwest	CENS-R2	117	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	45-54 years	45-54	Male	M	Census Region 3: South	CENS-R3	231	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	45-54 years	45-54	Male	M	Census Region 4: West	CENS-R4	132	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	55-64 years	55-64	Female	F	Census Region 1: Northeast	CENS-R1	320	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	55-64 years	55-64	Female	F	Census Region 2: Midwest	CENS-R2	420	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	55-64 years	55-64	Female	F	Census Region 3: South	CENS-R3	718	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	55-64 years	55-64	Female	F	Census Region 4: West	CENS-R4	419	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	55-64 years	55-64	Male	M	Census Region 1: Northeast	CENS-R1	350	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	55-64 years	55-64	Male	M	Census Region 2: Midwest	CENS-R2	362	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	55-64 years	55-64	Male	M	Census Region 3: South	CENS-R3	642	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	55-64 years	55-64	Male	M	Census Region 4: West	CENS-R4	452	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	65-74 years	65-74	Female	F	Census Region 1: Northeast	CENS-R1	889	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	65-74 years	65-74	Female	F	Census Region 2: Midwest	CENS-R2	881	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	65-74 years	65-74	Female	F	Census Region 3: South	CENS-R3	1605	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	65-74 years	65-74	Female	F	Census Region 4: West	CENS-R4	886	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	65-74 years	65-74	Male	M	Census Region 1: Northeast	CENS-R1	699	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	65-74 years	65-74	Male	M	Census Region 2: Midwest	CENS-R2	657	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	65-74 years	65-74	Male	M	Census Region 3: South	CENS-R3	1320	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	65-74 years	65-74	Male	M	Census Region 4: West	CENS-R4	711	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	75-84 years	75-84	Female	F	Census Region 1: Northeast	CENS-R1	1788	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	75-84 years	75-84	Female	F	Census Region 2: Midwest	CENS-R2	1791	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	75-84 years	75-84	Female	F	Census Region 3: South	CENS-R3	2772	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	75-84 years	75-84	Female	F	Census Region 4: West	CENS-R4	1533	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	75-84 years	75-84	Male	M	Census Region 1: Northeast	CENS-R1	1336	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	75-84 years	75-84	Male	M	Census Region 2: Midwest	CENS-R2	1192	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	75-84 years	75-84	Male	M	Census Region 3: South	CENS-R3	1862	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	75-84 years	75-84	Male	M	Census Region 4: West	CENS-R4	1172	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	85+ years	85+	Female	F	Census Region 1: Northeast	CENS-R1	2356	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	85+ years	85+	Female	F	Census Region 2: Midwest	CENS-R2	2131	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	85+ years	85+	Female	F	Census Region 3: South	CENS-R3	3114	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	85+ years	85+	Female	F	Census Region 4: West	CENS-R4	1733	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	85+ years	85+	Male	M	Census Region 1: Northeast	CENS-R1	1274	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	85+ years	85+	Male	M	Census Region 2: Midwest	CENS-R2	1021	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	85+ years	85+	Male	M	Census Region 3: South	CENS-R3	1491	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	85+ years	85+	Male	M	Census Region 4: West	CENS-R4	1030	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	25-34 years	25-34	Male	M	Census Region 3: South	CENS-R3	13	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	25-34 years	25-34	Male	M	Census Region 4: West	CENS-R4	12	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	35-44 years	35-44	Female	F	Census Region 3: South	CENS-R3	18	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	35-44 years	35-44	Female	F	Census Region 4: West	CENS-R4	11	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	35-44 years	35-44	Male	M	Census Region 3: South	CENS-R3	36	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	35-44 years	35-44	Male	M	Census Region 4: West	CENS-R4	22	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	45-54 years	45-54	Female	F	Census Region 1: Northeast	CENS-R1	12	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	45-54 years	45-54	Female	F	Census Region 2: Midwest	CENS-R2	10	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	45-54 years	45-54	Female	F	Census Region 3: South	CENS-R3	25	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	45-54 years	45-54	Female	F	Census Region 4: West	CENS-R4	15	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	45-54 years	45-54	Male	M	Census Region 1: Northeast	CENS-R1	30	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	45-54 years	45-54	Male	M	Census Region 2: Midwest	CENS-R2	31	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	45-54 years	45-54	Male	M	Census Region 3: South	CENS-R3	109	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	45-54 years	45-54	Male	M	Census Region 4: West	CENS-R4	54	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	55-64 years	55-64	Female	F	Census Region 1: Northeast	CENS-R1	20	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	55-64 years	55-64	Female	F	Census Region 2: Midwest	CENS-R2	28	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	55-64 years	55-64	Female	F	Census Region 3: South	CENS-R3	58	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	55-64 years	55-64	Female	F	Census Region 4: West	CENS-R4	33	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	55-64 years	55-64	Male	M	Census Region 1: Northeast	CENS-R1	47	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	55-64 years	55-64	Male	M	Census Region 2: Midwest	CENS-R2	42	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	55-64 years	55-64	Male	M	Census Region 3: South	CENS-R3	146	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	55-64 years	55-64	Male	M	Census Region 4: West	CENS-R4	95	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	65-74 years	65-74	Female	F	Census Region 1: Northeast	CENS-R1	17	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	65-74 years	65-74	Female	F	Census Region 2: Midwest	CENS-R2	28	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	65-74 years	65-74	Female	F	Census Region 3: South	CENS-R3	53	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	65-74 years	65-74	Female	F	Census Region 4: West	CENS-R4	54	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	65-74 years	65-74	Male	M	Census Region 1: Northeast	CENS-R1	42	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	65-74 years	65-74	Male	M	Census Region 2: Midwest	CENS-R2	40	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	65-74 years	65-74	Male	M	Census Region 3: South	CENS-R3	144	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	65-74 years	65-74	Male	M	Census Region 4: West	CENS-R4	105	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	75-84 years	75-84	Female	F	Census Region 1: Northeast	CENS-R1	40	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	75-84 years	75-84	Female	F	Census Region 2: Midwest	CENS-R2	33	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	75-84 years	75-84	Female	F	Census Region 3: South	CENS-R3	79	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	75-84 years	75-84	Female	F	Census Region 4: West	CENS-R4	69	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	75-84 years	75-84	Male	M	Census Region 1: Northeast	CENS-R1	52	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	75-84 years	75-84	Male	M	Census Region 2: Midwest	CENS-R2	52	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	75-84 years	75-84	Male	M	Census Region 3: South	CENS-R3	114	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	75-84 years	75-84	Male	M	Census Region 4: West	CENS-R4	103	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	85+ years	85+	Female	F	Census Region 1: Northeast	CENS-R1	37	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	85+ years	85+	Female	F	Census Region 2: Midwest	CENS-R2	20	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	85+ years	85+	Female	F	Census Region 3: South	CENS-R3	50	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	85+ years	85+	Female	F	Census Region 4: West	CENS-R4	57	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	85+ years	85+	Male	M	Census Region 1: Northeast	CENS-R1	44	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	85+ years	85+	Male	M	Census Region 2: Midwest	CENS-R2	23	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	85+ years	85+	Male	M	Census Region 3: South	CENS-R3	60	Not Applicable	Not Applicable
	#Tuberculosis (A16-A19)	GR113-004	85+ years	85+	Male	M	Census Region 4: West	CENS-R4	90	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	35-44 years	35-44	Male	M	Census Region 3: South	CENS-R3	23	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	35-44 years	35-44	Male	M	Census Region 4: West	CENS-R4	14	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	45-54 years	45-54	Female	F	Census Region 3: South	CENS-R3	16	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	45-54 years	45-54	Male	M	Census Region 1: Northeast	CENS-R1	23	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	45-54 years	45-54	Male	M	Census Region 2: Midwest	CENS-R2	21	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	45-54 years	45-54	Male	M	Census Region 3: South	CENS-R3	77	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	45-54 years	45-54	Male	M	Census Region 4: West	CENS-R4	36	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	55-64 years	55-64	Female	F	Census Region 1: Northeast	CENS-R1	15	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	55-64 years	55-64	Female	F	Census Region 2: Midwest	CENS-R2	16	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	55-64 years	55-64	Female	F	Census Region 3: South	CENS-R3	36	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	55-64 years	55-64	Female	F	Census Region 4: West	CENS-R4	25	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	55-64 years	55-64	Male	M	Census Region 1: Northeast	CENS-R1	28	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	55-64 years	55-64	Male	M	Census Region 2: Midwest	CENS-R2	25	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	55-64 years	55-64	Male	M	Census Region 3: South	CENS-R3	108	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	55-64 years	55-64	Male	M	Census Region 4: West	CENS-R4	65	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	65-74 years	65-74	Female	F	Census Region 1: Northeast	CENS-R1	12	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	65-74 years	65-74	Female	F	Census Region 2: Midwest	CENS-R2	14	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	65-74 years	65-74	Female	F	Census Region 3: South	CENS-R3	28	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	65-74 years	65-74	Female	F	Census Region 4: West	CENS-R4	35	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	65-74 years	65-74	Male	M	Census Region 1: Northeast	CENS-R1	30	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	65-74 years	65-74	Male	M	Census Region 2: Midwest	CENS-R2	22	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	65-74 years	65-74	Male	M	Census Region 3: South	CENS-R3	119	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	65-74 years	65-74	Male	M	Census Region 4: West	CENS-R4	81	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	75-84 years	75-84	Female	F	Census Region 1: Northeast	CENS-R1	27	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	75-84 years	75-84	Female	F	Census Region 2: Midwest	CENS-R2	23	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	75-84 years	75-84	Female	F	Census Region 3: South	CENS-R3	61	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	75-84 years	75-84	Female	F	Census Region 4: West	CENS-R4	52	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	75-84 years	75-84	Male	M	Census Region 1: Northeast	CENS-R1	42	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	75-84 years	75-84	Male	M	Census Region 2: Midwest	CENS-R2	37	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	75-84 years	75-84	Male	M	Census Region 3: South	CENS-R3	82	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	75-84 years	75-84	Male	M	Census Region 4: West	CENS-R4	83	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	85+ years	85+	Female	F	Census Region 1: Northeast	CENS-R1	34	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	85+ years	85+	Female	F	Census Region 2: Midwest	CENS-R2	15	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	85+ years	85+	Female	F	Census Region 3: South	CENS-R3	42	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	85+ years	85+	Female	F	Census Region 4: West	CENS-R4	49	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	85+ years	85+	Male	M	Census Region 1: Northeast	CENS-R1	38	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	85+ years	85+	Male	M	Census Region 2: Midwest	CENS-R2	17	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	85+ years	85+	Male	M	Census Region 3: South	CENS-R3	50	Not Applicable	Not Applicable
	Respiratory tuberculosis (A16)	GR113-005	85+ years	85+	Male	M	Census Region 4: West	CENS-R4	79	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	35-44 years	35-44	Female	F	Census Region 3: South	CENS-R3	11	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	35-44 years	35-44	Male	M	Census Region 3: South	CENS-R3	13	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	45-54 years	45-54	Male	M	Census Region 2: Midwest	CENS-R2	10	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	45-54 years	45-54	Male	M	Census Region 3: South	CENS-R3	32	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	45-54 years	45-54	Male	M	Census Region 4: West	CENS-R4	18	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	55-64 years	55-64	Female	F	Census Region 2: Midwest	CENS-R2	12	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	55-64 years	55-64	Female	F	Census Region 3: South	CENS-R3	22	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	55-64 years	55-64	Male	M	Census Region 1: Northeast	CENS-R1	19	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	55-64 years	55-64	Male	M	Census Region 2: Midwest	CENS-R2	17	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	55-64 years	55-64	Male	M	Census Region 3: South	CENS-R3	38	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	55-64 years	55-64	Male	M	Census Region 4: West	CENS-R4	30	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	65-74 years	65-74	Female	F	Census Region 2: Midwest	CENS-R2	14	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	65-74 years	65-74	Female	F	Census Region 3: South	CENS-R3	25	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	65-74 years	65-74	Female	F	Census Region 4: West	CENS-R4	19	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	65-74 years	65-74	Male	M	Census Region 1: Northeast	CENS-R1	12	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	65-74 years	65-74	Male	M	Census Region 2: Midwest	CENS-R2	18	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	65-74 years	65-74	Male	M	Census Region 3: South	CENS-R3	25	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	65-74 years	65-74	Male	M	Census Region 4: West	CENS-R4	24	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	75-84 years	75-84	Female	F	Census Region 1: Northeast	CENS-R1	13	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	75-84 years	75-84	Female	F	Census Region 2: Midwest	CENS-R2	10	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	75-84 years	75-84	Female	F	Census Region 3: South	CENS-R3	18	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	75-84 years	75-84	Female	F	Census Region 4: West	CENS-R4	17	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	75-84 years	75-84	Male	M	Census Region 1: Northeast	CENS-R1	10	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	75-84 years	75-84	Male	M	Census Region 2: Midwest	CENS-R2	15	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	75-84 years	75-84	Male	M	Census Region 3: South	CENS-R3	32	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	75-84 years	75-84	Male	M	Census Region 4: West	CENS-R4	20	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	85+ years	85+	Male	M	Census Region 3: South	CENS-R3	10	Not Applicable	Not Applicable
	Other tuberculosis (A17-A19)	GR113-006	85+ years	85+	Male	M	Census Region 4: West	CENS-R4	11	Not Applicable	Not Applicable
	#Whooping cough (A37)	GR113-007	< 1 year	1	Female	F	Census Region 3: South	CENS-R3	12	Not Applicable	Not Applicable
	#Whooping cough (A37)	GR113-007	< 1 year	1	Female	F	Census Region 4: West	CENS-R4	11	Not Applicable	Not Applicable
	#Whooping cough (A37)	GR113-007	< 1 year	1	Male	M	Census Region 3: South	CENS-R3	12	Not Applicable	Not Applicable
