Notes,Race,Race Code,Cause of death,Cause of death Code,Gender,Gender Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,Asian or Pacific Islander,A-PI,"Acute myocardial infarction, unspecified",I21.9,Male,M,85+ years,85+,16,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Atherosclerotic cardiovascular disease, so described",I25.0,Male,M,65-74 years,65-74,10,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,Atherosclerotic heart disease,I25.1,Female,F,75-84 years,75-84,12,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,Atherosclerotic heart disease,I25.1,Female,F,85+ years,85+,23,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,Atherosclerotic heart disease,I25.1,Male,M,55-64 years,55-64,21,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,Atherosclerotic heart disease,I25.1,Male,M,65-74 years,65-74,26,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,Atherosclerotic heart disease,I25.1,Male,M,75-84 years,75-84,33,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,Atherosclerotic heart disease,I25.1,Male,M,85+ years,85+,15,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,Congestive heart failure,I50.0,Female,F,75-84 years,75-84,10,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Intracerebral haemorrhage, unspecified",I61.9,Female,F,65-74 years,65-74,12,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Stroke, not specified as haemorrhage or infarction",I64,Female,F,85+ years,85+,10,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Pneumonia, unspecified",J18.9,Female,F,85+ years,85+,14,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Pneumonia, unspecified",J18.9,Male,M,75-84 years,75-84,14,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Pneumonia, unspecified",J18.9,Male,M,85+ years,85+,15,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,Pneumonitis due to food and vomit,J69.0,Male,M,85+ years,85+,11,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,Extreme immaturity,P07.2,Male,M,< 1 year,1,15,Not Applicable,Not Applicable
,Black or African American,2054-5,Enterocolitis due to Clostridium difficile,A04.7,Female,F,65-74 years,65-74,16,Not Applicable,Not Applicable
,Black or African American,2054-5,Enterocolitis due to Clostridium difficile,A04.7,Female,F,75-84 years,75-84,23,Not Applicable,Not Applicable
,Black or African American,2054-5,Enterocolitis due to Clostridium difficile,A04.7,Female,F,85+ years,85+,18,Not Applicable,Not Applicable
,Black or African American,2054-5,Enterocolitis due to Clostridium difficile,A04.7,Male,M,55-64 years,55-64,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Enterocolitis due to Clostridium difficile,A04.7,Male,M,65-74 years,65-74,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Enterocolitis due to Clostridium difficile,A04.7,Male,M,75-84 years,75-84,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,Female,F,35-44 years,35-44,22,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,Female,F,45-54 years,45-54,57,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,Female,F,55-64 years,55-64,99,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,Female,F,65-74 years,65-74,128,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,Female,F,75-84 years,75-84,118,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,Female,F,85+ years,85+,92,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,Male,M,35-44 years,35-44,16,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,Male,M,45-54 years,45-54,51,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,Male,M,55-64 years,55-64,124,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,Male,M,65-74 years,65-74,130,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,Male,M,75-84 years,75-84,101,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,Male,M,85+ years,85+,43,Not Applicable,Not Applicable
,Black or African American,2054-5,Chronic viral hepatitis C,B18.2,Female,F,55-64 years,55-64,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Chronic viral hepatitis C,B18.2,Male,M,55-64 years,55-64,30,Not Applicable,Not Applicable
,Black or African American,2054-5,Chronic viral hepatitis C,B18.2,Male,M,65-74 years,65-74,22,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other specified conditions,B23.8,Male,M,45-54 years,45-54,11,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other specified conditions,B23.8,Male,M,55-64 years,55-64,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Oesophagus, unspecified - Malignant neoplasms",C15.9,Male,M,55-64 years,55-64,22,Not Applicable,Not Applicable
,Black or African American,2054-5,"Oesophagus, unspecified - Malignant neoplasms",C15.9,Male,M,65-74 years,65-74,19,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stomach, unspecified - Malignant neoplasms",C16.9,Female,F,55-64 years,55-64,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stomach, unspecified - Malignant neoplasms",C16.9,Male,M,55-64 years,55-64,19,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stomach, unspecified - Malignant neoplasms",C16.9,Male,M,65-74 years,65-74,22,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stomach, unspecified - Malignant neoplasms",C16.9,Male,M,75-84 years,75-84,17,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,Female,F,45-54 years,45-54,24,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,Female,F,55-64 years,55-64,42,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,Female,F,65-74 years,65-74,28,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,Female,F,75-84 years,75-84,18,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,Female,F,85+ years,85+,17,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,Male,M,45-54 years,45-54,22,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,Male,M,55-64 years,55-64,48,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,Male,M,65-74 years,65-74,58,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,Male,M,75-84 years,75-84,34,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,Male,M,85+ years,85+,14,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of rectum,C20,Male,M,55-64 years,55-64,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Liver cell carcinoma - Malignant neoplasms,C22.0,Female,F,55-64 years,55-64,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Liver cell carcinoma - Malignant neoplasms,C22.0,Female,F,65-74 years,65-74,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Liver cell carcinoma - Malignant neoplasms,C22.0,Male,M,55-64 years,55-64,38,Not Applicable,Not Applicable
,Black or African American,2054-5,Liver cell carcinoma - Malignant neoplasms,C22.0,Male,M,65-74 years,65-74,34,Not Applicable,Not Applicable
,Black or African American,2054-5,Liver cell carcinoma - Malignant neoplasms,C22.0,Male,M,75-84 years,75-84,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,Female,F,55-64 years,55-64,14,Not Applicable,Not Applicable
,Black or African American,2054-5,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,Female,F,65-74 years,65-74,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pancreas, unspecified - Malignant neoplasms",C25.9,Female,F,45-54 years,45-54,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pancreas, unspecified - Malignant neoplasms",C25.9,Female,F,55-64 years,55-64,38,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pancreas, unspecified - Malignant neoplasms",C25.9,Female,F,65-74 years,65-74,44,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pancreas, unspecified - Malignant neoplasms",C25.9,Female,F,75-84 years,75-84,27,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pancreas, unspecified - Malignant neoplasms",C25.9,Female,F,85+ years,85+,16,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pancreas, unspecified - Malignant neoplasms",C25.9,Male,M,45-54 years,45-54,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pancreas, unspecified - Malignant neoplasms",C25.9,Male,M,55-64 years,55-64,49,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pancreas, unspecified - Malignant neoplasms",C25.9,Male,M,65-74 years,65-74,63,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pancreas, unspecified - Malignant neoplasms",C25.9,Male,M,75-84 years,75-84,16,Not Applicable,Not Applicable
,Black or African American,2054-5,"Larynx, unspecified - Malignant neoplasms",C32.9,Male,M,55-64 years,55-64,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Female,F,45-54 years,45-54,43,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Female,F,55-64 years,55-64,141,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Female,F,65-74 years,65-74,162,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Female,F,75-84 years,75-84,110,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Female,F,85+ years,85+,29,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Male,M,45-54 years,45-54,39,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Male,M,55-64 years,55-64,190,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Male,M,65-74 years,65-74,202,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Male,M,75-84 years,75-84,134,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Male,M,85+ years,85+,29,Not Applicable,Not Applicable
,Black or African American,2054-5,"Breast, unspecified - Malignant neoplasms",C50.9,Female,F,35-44 years,35-44,40,Not Applicable,Not Applicable
,Black or African American,2054-5,"Breast, unspecified - Malignant neoplasms",C50.9,Female,F,45-54 years,45-54,89,Not Applicable,Not Applicable
,Black or African American,2054-5,"Breast, unspecified - Malignant neoplasms",C50.9,Female,F,55-64 years,55-64,116,Not Applicable,Not Applicable
,Black or African American,2054-5,"Breast, unspecified - Malignant neoplasms",C50.9,Female,F,65-74 years,65-74,101,Not Applicable,Not Applicable
,Black or African American,2054-5,"Breast, unspecified - Malignant neoplasms",C50.9,Female,F,75-84 years,75-84,51,Not Applicable,Not Applicable
,Black or African American,2054-5,"Breast, unspecified - Malignant neoplasms",C50.9,Female,F,85+ years,85+,25,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,Female,F,35-44 years,35-44,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,Female,F,45-54 years,45-54,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,Female,F,65-74 years,65-74,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Endometrium - Malignant neoplasms,C54.1,Female,F,55-64 years,55-64,22,Not Applicable,Not Applicable
,Black or African American,2054-5,Endometrium - Malignant neoplasms,C54.1,Female,F,65-74 years,65-74,27,Not Applicable,Not Applicable
,Black or African American,2054-5,Endometrium - Malignant neoplasms,C54.1,Female,F,75-84 years,75-84,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Malignant neoplasm of uterus, part unspecified",C55,Female,F,55-64 years,55-64,21,Not Applicable,Not Applicable
,Black or African American,2054-5,"Malignant neoplasm of uterus, part unspecified",C55,Female,F,65-74 years,65-74,27,Not Applicable,Not Applicable
,Black or African American,2054-5,"Malignant neoplasm of uterus, part unspecified",C55,Female,F,75-84 years,75-84,14,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of ovary,C56,Female,F,55-64 years,55-64,18,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of ovary,C56,Female,F,65-74 years,65-74,24,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of ovary,C56,Female,F,75-84 years,75-84,21,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of prostate,C61,Male,M,55-64 years,55-64,53,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of prostate,C61,Male,M,65-74 years,65-74,80,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of prostate,C61,Male,M,75-84 years,75-84,74,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of prostate,C61,Male,M,85+ years,85+,48,Not Applicable,Not Applicable
,Black or African American,2054-5,"Malignant neoplasm of kidney, except renal pelvis",C64,Male,M,55-64 years,55-64,17,Not Applicable,Not Applicable
,Black or African American,2054-5,"Malignant neoplasm of kidney, except renal pelvis",C64,Male,M,65-74 years,65-74,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bladder, unspecified - Malignant neoplasms",C67.9,Female,F,75-84 years,75-84,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bladder, unspecified - Malignant neoplasms",C67.9,Male,M,65-74 years,65-74,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bladder, unspecified - Malignant neoplasms",C67.9,Male,M,75-84 years,75-84,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Brain, unspecified - Malignant neoplasms",C71.9,Male,M,65-74 years,65-74,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,Female,F,45-54 years,45-54,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,Female,F,55-64 years,55-64,34,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,Female,F,65-74 years,65-74,51,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,Female,F,75-84 years,75-84,37,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,Female,F,85+ years,85+,25,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,Male,M,45-54 years,45-54,18,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,Male,M,55-64 years,55-64,48,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,Male,M,65-74 years,65-74,58,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,Male,M,75-84 years,75-84,23,Not Applicable,Not Applicable
,Black or African American,2054-5,"Non-Hodgkin lymphoma, unspecified type",C85.9,Male,M,55-64 years,55-64,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Multiple myeloma - Malignant neoplasms,C90.0,Female,F,55-64 years,55-64,22,Not Applicable,Not Applicable
,Black or African American,2054-5,Multiple myeloma - Malignant neoplasms,C90.0,Female,F,65-74 years,65-74,20,Not Applicable,Not Applicable
,Black or African American,2054-5,Multiple myeloma - Malignant neoplasms,C90.0,Female,F,75-84 years,75-84,22,Not Applicable,Not Applicable
,Black or African American,2054-5,Multiple myeloma - Malignant neoplasms,C90.0,Female,F,85+ years,85+,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Multiple myeloma - Malignant neoplasms,C90.0,Male,M,55-64 years,55-64,18,Not Applicable,Not Applicable
,Black or African American,2054-5,Multiple myeloma - Malignant neoplasms,C90.0,Male,M,65-74 years,65-74,32,Not Applicable,Not Applicable
,Black or African American,2054-5,Multiple myeloma - Malignant neoplasms,C90.0,Male,M,75-84 years,75-84,21,Not Applicable,Not Applicable
,Black or African American,2054-5,Acute myeloid leukaemia - Malignant neoplasms,C92.0,Female,F,65-74 years,65-74,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Acute myeloid leukaemia - Malignant neoplasms,C92.0,Female,F,75-84 years,75-84,14,Not Applicable,Not Applicable
,Black or African American,2054-5,Acute myeloid leukaemia - Malignant neoplasms,C92.0,Male,M,65-74 years,65-74,16,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasms of independent (primary) multiple sites,C97,Male,M,65-74 years,65-74,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasms of independent (primary) multiple sites,C97,Male,M,75-84 years,75-84,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Anaemia, unspecified",D64.9,Female,F,65-74 years,65-74,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Sarcoidosis, unspecified",D86.9,Female,F,45-54 years,45-54,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Sarcoidosis, unspecified",D86.9,Male,M,45-54 years,45-54,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,Female,F,65-74 years,65-74,16,Not Applicable,Not Applicable
,Black or African American,2054-5,"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,Female,F,75-84 years,75-84,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,Male,M,45-54 years,45-54,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,Male,M,55-64 years,55-64,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,Male,M,65-74 years,65-74,21,Not Applicable,Not Applicable
,Black or African American,2054-5,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,Female,F,55-64 years,55-64,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,Female,F,65-74 years,65-74,15,Not Applicable,Not Applicable
,Black or African American,2054-5,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,Female,F,75-84 years,75-84,21,Not Applicable,Not Applicable
,Black or African American,2054-5,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,Female,F,85+ years,85+,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,Male,M,45-54 years,45-54,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,Male,M,55-64 years,55-64,19,Not Applicable,Not Applicable
,Black or African American,2054-5,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,Male,M,65-74 years,65-74,18,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, with renal complications",E14.2,Female,F,55-64 years,55-64,20,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, with renal complications",E14.2,Female,F,65-74 years,65-74,30,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, with renal complications",E14.2,Female,F,75-84 years,75-84,37,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, with renal complications",E14.2,Female,F,85+ years,85+,20,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, with renal complications",E14.2,Male,M,55-64 years,55-64,30,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, with renal complications",E14.2,Male,M,65-74 years,65-74,29,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, with renal complications",E14.2,Male,M,75-84 years,75-84,19,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,Female,F,35-44 years,35-44,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,Female,F,45-54 years,45-54,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,Female,F,55-64 years,55-64,33,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,Female,F,65-74 years,65-74,47,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,Female,F,75-84 years,75-84,46,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,Female,F,85+ years,85+,20,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,Male,M,45-54 years,45-54,24,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,Male,M,55-64 years,55-64,41,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,Male,M,65-74 years,65-74,48,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,Male,M,75-84 years,75-84,28,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,Male,M,85+ years,85+,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified severe protein-energy malnutrition,E43,Male,M,85+ years,85+,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Other obesity,E66.8,Female,F,45-54 years,45-54,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Other obesity,E66.8,Male,M,45-54 years,45-54,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Acidosis,E87.2,Female,F,65-74 years,65-74,15,Not Applicable,Not Applicable
,Black or African American,2054-5,Acidosis,E87.2,Female,F,75-84 years,75-84,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Acidosis,E87.2,Male,M,65-74 years,65-74,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Vascular dementia, unspecified",F01.9,Male,M,85+ years,85+,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified dementia,F03,Female,F,65-74 years,65-74,24,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified dementia,F03,Female,F,75-84 years,75-84,73,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified dementia,F03,Female,F,85+ years,85+,117,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified dementia,F03,Male,M,65-74 years,65-74,29,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified dementia,F03,Male,M,75-84 years,75-84,45,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified dementia,F03,Male,M,85+ years,85+,68,Not Applicable,Not Applicable
,Black or African American,2054-5,Parkinson disease,G20,Male,M,65-74 years,65-74,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Alzheimer disease, unspecified",G30.9,Female,F,65-74 years,65-74,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Alzheimer disease, unspecified",G30.9,Female,F,75-84 years,75-84,26,Not Applicable,Not Applicable
,Black or African American,2054-5,"Alzheimer disease, unspecified",G30.9,Female,F,85+ years,85+,43,Not Applicable,Not Applicable
