Notes,Race,Race Code,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
,Black or African American,2054-5,"Breast, unspecified - Malignant neoplasms",C50.9,75-84 years,75-84,Female,F,19,Not Applicable,Not Applicable
,Black or African American,2054-5,"Breast, unspecified - Malignant neoplasms",C50.9,85+ years,85+,Female,F,15,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of ovary,C56,55-64 years,55-64,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of prostate,C61,55-64 years,55-64,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of prostate,C61,65-74 years,65-74,Male,M,21,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of prostate,C61,75-84 years,75-84,Male,M,26,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of prostate,C61,85+ years,85+,Male,M,15,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,45-54 years,45-54,Male,M,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,55-64 years,55-64,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,65-74 years,65-74,Female,F,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,65-74 years,65-74,Male,M,15,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,75-84 years,75-84,Female,F,18,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,75-84 years,75-84,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Multiple myeloma - Malignant neoplasms,C90.0,75-84 years,75-84,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,55-64 years,55-64,Female,F,15,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,55-64 years,55-64,Male,M,20,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,65-74 years,65-74,Female,F,29,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,65-74 years,65-74,Male,M,21,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,75-84 years,75-84,Female,F,25,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,75-84 years,75-84,Male,M,19,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,85+ years,85+,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified dementia,F03,75-84 years,75-84,Female,F,25,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified dementia,F03,75-84 years,75-84,Male,M,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified dementia,F03,85+ years,85+,Female,F,36,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified dementia,F03,85+ years,85+,Male,M,20,Not Applicable,Not Applicable
,Black or African American,2054-5,"Alzheimer disease, unspecified",G30.9,75-84 years,75-84,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Alzheimer disease, unspecified",G30.9,85+ years,85+,Female,F,16,Not Applicable,Not Applicable
,Black or African American,2054-5,"Anoxic brain damage, not elsewhere classified",G93.1,55-64 years,55-64,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Anoxic brain damage, not elsewhere classified",G93.1,75-84 years,75-84,Male,M,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive renal disease with renal failure,I12.0,65-74 years,65-74,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive renal disease with renal failure,I12.0,65-74 years,65-74,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,45-54 years,45-54,Female,F,16,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,45-54 years,45-54,Male,M,27,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,55-64 years,55-64,Female,F,37,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,55-64 years,55-64,Male,M,42,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,65-74 years,65-74,Female,F,50,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,65-74 years,65-74,Male,M,56,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,75-84 years,75-84,Female,F,61,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,75-84 years,75-84,Male,M,51,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,85+ years,85+,Female,F,52,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,85+ years,85+,Male,M,24,Not Applicable,Not Applicable
,Black or African American,2054-5,"Atherosclerotic cardiovascular disease, so described",I25.0,55-64 years,55-64,Male,M,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Atherosclerotic cardiovascular disease, so described",I25.0,65-74 years,65-74,Male,M,17,Not Applicable,Not Applicable
,Black or African American,2054-5,"Atherosclerotic cardiovascular disease, so described",I25.0,75-84 years,75-84,Female,F,15,Not Applicable,Not Applicable
,Black or African American,2054-5,"Atherosclerotic cardiovascular disease, so described",I25.0,75-84 years,75-84,Male,M,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Atherosclerotic cardiovascular disease, so described",I25.0,85+ years,85+,Female,F,15,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,45-54 years,45-54,Female,F,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,45-54 years,45-54,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,55-64 years,55-64,Female,F,36,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,55-64 years,55-64,Male,M,45,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,65-74 years,65-74,Female,F,49,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,65-74 years,65-74,Male,M,61,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,75-84 years,75-84,Female,F,82,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,75-84 years,75-84,Male,M,63,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,85+ years,85+,Female,F,100,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,85+ years,85+,Male,M,51,Not Applicable,Not Applicable
,Black or African American,2054-5,Other secondary pulmonary hypertension,I27.2,65-74 years,65-74,Female,F,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiomyopathy, unspecified",I42.9,45-54 years,45-54,Male,M,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiomyopathy, unspecified",I42.9,55-64 years,55-64,Male,M,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiomyopathy, unspecified",I42.9,65-74 years,65-74,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiomyopathy, unspecified",I42.9,65-74 years,65-74,Male,M,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiomyopathy, unspecified",I42.9,75-84 years,75-84,Female,F,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiomyopathy, unspecified",I42.9,75-84 years,75-84,Male,M,16,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiac arrest, unspecified",I46.9,55-64 years,55-64,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiac arrest, unspecified",I46.9,75-84 years,75-84,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiac arrest, unspecified",I46.9,85+ years,85+,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Atrial fibrillation and flutter,I48,75-84 years,75-84,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiac arrhythmia, unspecified",I49.9,65-74 years,65-74,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Congestive heart failure,I50.0,55-64 years,55-64,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Congestive heart failure,I50.0,65-74 years,65-74,Female,F,15,Not Applicable,Not Applicable
,Black or African American,2054-5,Congestive heart failure,I50.0,65-74 years,65-74,Male,M,23,Not Applicable,Not Applicable
,Black or African American,2054-5,Congestive heart failure,I50.0,75-84 years,75-84,Female,F,26,Not Applicable,Not Applicable
,Black or African American,2054-5,Congestive heart failure,I50.0,75-84 years,75-84,Male,M,17,Not Applicable,Not Applicable
,Black or African American,2054-5,Congestive heart failure,I50.0,85+ years,85+,Female,F,33,Not Applicable,Not Applicable
,Black or African American,2054-5,"Intracerebral haemorrhage, unspecified",I61.9,45-54 years,45-54,Male,M,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,55-64 years,55-64,Male,M,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,65-74 years,65-74,Male,M,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stroke, not specified as haemorrhage or infarction",I64,45-54 years,45-54,Male,M,16,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stroke, not specified as haemorrhage or infarction",I64,55-64 years,55-64,Female,F,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stroke, not specified as haemorrhage or infarction",I64,55-64 years,55-64,Male,M,19,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stroke, not specified as haemorrhage or infarction",I64,65-74 years,65-74,Female,F,23,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stroke, not specified as haemorrhage or infarction",I64,65-74 years,65-74,Male,M,21,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stroke, not specified as haemorrhage or infarction",I64,75-84 years,75-84,Female,F,44,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stroke, not specified as haemorrhage or infarction",I64,75-84 years,75-84,Male,M,42,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stroke, not specified as haemorrhage or infarction",I64,85+ years,85+,Female,F,41,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stroke, not specified as haemorrhage or infarction",I64,85+ years,85+,Male,M,15,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pneumonia, unspecified",J18.9,45-54 years,45-54,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pneumonia, unspecified",J18.9,45-54 years,45-54,Male,M,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pneumonia, unspecified",J18.9,55-64 years,55-64,Female,F,17,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pneumonia, unspecified",J18.9,55-64 years,55-64,Male,M,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pneumonia, unspecified",J18.9,65-74 years,65-74,Female,F,27,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pneumonia, unspecified",J18.9,65-74 years,65-74,Male,M,22,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pneumonia, unspecified",J18.9,75-84 years,75-84,Female,F,33,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pneumonia, unspecified",J18.9,75-84 years,75-84,Male,M,27,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pneumonia, unspecified",J18.9,85+ years,85+,Female,F,49,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pneumonia, unspecified",J18.9,85+ years,85+,Male,M,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Chronic obstructive pulmonary disease, unspecified",J44.9,55-64 years,55-64,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Chronic obstructive pulmonary disease, unspecified",J44.9,55-64 years,55-64,Male,M,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Chronic obstructive pulmonary disease, unspecified",J44.9,65-74 years,65-74,Female,F,23,Not Applicable,Not Applicable
,Black or African American,2054-5,"Chronic obstructive pulmonary disease, unspecified",J44.9,65-74 years,65-74,Male,M,22,Not Applicable,Not Applicable
,Black or African American,2054-5,"Chronic obstructive pulmonary disease, unspecified",J44.9,75-84 years,75-84,Female,F,25,Not Applicable,Not Applicable
,Black or African American,2054-5,"Chronic obstructive pulmonary disease, unspecified",J44.9,75-84 years,75-84,Male,M,19,Not Applicable,Not Applicable
,Black or African American,2054-5,"Chronic obstructive pulmonary disease, unspecified",J44.9,85+ years,85+,Female,F,21,Not Applicable,Not Applicable
,Black or African American,2054-5,"Chronic obstructive pulmonary disease, unspecified",J44.9,85+ years,85+,Male,M,18,Not Applicable,Not Applicable
,Black or African American,2054-5,Pneumonitis due to food and vomit,J69.0,75-84 years,75-84,Female,F,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Pneumonitis due to food and vomit,J69.0,75-84 years,75-84,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Pneumonitis due to food and vomit,J69.0,85+ years,85+,Female,F,15,Not Applicable,Not Applicable
,Black or African American,2054-5,Pneumonitis due to food and vomit,J69.0,85+ years,85+,Male,M,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Vascular disorder of intestine, unspecified",K55.9,75-84 years,75-84,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Other and unspecified cirrhosis of liver,K74.6,45-54 years,45-54,Male,M,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Other and unspecified cirrhosis of liver,K74.6,55-64 years,55-64,Male,M,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Liver disease, unspecified",K76.9,55-64 years,55-64,Male,M,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Gastrointestinal haemorrhage, unspecified",K92.2,75-84 years,75-84,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Gastrointestinal haemorrhage, unspecified",K92.2,75-84 years,75-84,Male,M,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute renal failure, unspecified",N17.9,75-84 years,75-84,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,End-stage renal disease,N18.0,55-64 years,55-64,Female,F,17,Not Applicable,Not Applicable
,Black or African American,2054-5,End-stage renal disease,N18.0,55-64 years,55-64,Male,M,21,Not Applicable,Not Applicable
,Black or African American,2054-5,End-stage renal disease,N18.0,65-74 years,65-74,Female,F,20,Not Applicable,Not Applicable
,Black or African American,2054-5,End-stage renal disease,N18.0,65-74 years,65-74,Male,M,22,Not Applicable,Not Applicable
,Black or African American,2054-5,End-stage renal disease,N18.0,75-84 years,75-84,Female,F,27,Not Applicable,Not Applicable
,Black or African American,2054-5,End-stage renal disease,N18.0,75-84 years,75-84,Male,M,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified renal failure,N19,55-64 years,55-64,Male,M,15,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified renal failure,N19,65-74 years,65-74,Female,F,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified renal failure,N19,75-84 years,75-84,Male,M,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified renal failure,N19,85+ years,85+,Female,F,16,Not Applicable,Not Applicable
,Black or African American,2054-5,"Urinary tract infection, site not specified",N39.0,75-84 years,75-84,Female,F,15,Not Applicable,Not Applicable
,Black or African American,2054-5,"Urinary tract infection, site not specified",N39.0,85+ years,85+,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Newborn affected by premature rupture of membranes,P01.1,< 1 year,1,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Newborn affected by multiple pregnancy,P01.5,< 1 year,1,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Extreme immaturity,P07.2,< 1 year,1,Female,F,28,Not Applicable,Not Applicable
,Black or African American,2054-5,Extreme immaturity,P07.2,< 1 year,1,Male,M,54,Not Applicable,Not Applicable
,Black or African American,2054-5,Other preterm infants,P07.3,< 1 year,1,Male,M,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,Male,M,66,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,Male,M,46,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,Male,M,18,Not Applicable,Not Applicable
,White,2106-3,Enterocolitis due to Clostridium difficile,A04.7,55-64 years,55-64,Female,F,15,Not Applicable,Not Applicable
,White,2106-3,Enterocolitis due to Clostridium difficile,A04.7,55-64 years,55-64,Male,M,10,Not Applicable,Not Applicable
,White,2106-3,Enterocolitis due to Clostridium difficile,A04.7,65-74 years,65-74,Female,F,26,Not Applicable,Not Applicable
,White,2106-3,Enterocolitis due to Clostridium difficile,A04.7,65-74 years,65-74,Male,M,31,Not Applicable,Not Applicable
,White,2106-3,Enterocolitis due to Clostridium difficile,A04.7,75-84 years,75-84,Female,F,100,Not Applicable,Not Applicable
,White,2106-3,Enterocolitis due to Clostridium difficile,A04.7,75-84 years,75-84,Male,M,75,Not Applicable,Not Applicable
,White,2106-3,Enterocolitis due to Clostridium difficile,A04.7,85+ years,85+,Female,F,120,Not Applicable,Not Applicable
,White,2106-3,Enterocolitis due to Clostridium difficile,A04.7,85+ years,85+,Male,M,68,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to Staphylococcus aureus,A41.0,75-84 years,75-84,Male,M,10,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to other Gram-negative organisms,A41.5,75-84 years,75-84,Male,M,10,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,35-44 years,35-44,Female,F,17,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,35-44 years,35-44,Male,M,15,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,45-54 years,45-54,Female,F,43,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,45-54 years,45-54,Male,M,62,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,55-64 years,55-64,Female,F,114,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,55-64 years,55-64,Male,M,132,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,65-74 years,65-74,Female,F,167,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,65-74 years,65-74,Male,M,189,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,75-84 years,75-84,Female,F,348,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,75-84 years,75-84,Male,M,325,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,85+ years,85+,Female,F,401,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,85+ years,85+,Male,M,252,Not Applicable,Not Applicable
,White,2106-3,Chronic viral hepatitis C,B18.2,45-54 years,45-54,Female,F,15,Not Applicable,Not Applicable
,White,2106-3,Chronic viral hepatitis C,B18.2,45-54 years,45-54,Male,M,30,Not Applicable,Not Applicable
,White,2106-3,Chronic viral hepatitis C,B18.2,55-64 years,55-64,Female,F,23,Not Applicable,Not Applicable
,White,2106-3,Chronic viral hepatitis C,B18.2,55-64 years,55-64,Male,M,26,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,45-54 years,45-54,Male,M,26,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,55-64 years,55-64,Male,M,74,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,65-74 years,65-74,Male,M,65,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,75-84 years,75-84,Female,F,11,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,75-84 years,75-84,Male,M,57,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,85+ years,85+,Male,M,11,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,55-64 years,55-64,Male,M,15,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,65-74 years,65-74,Female,F,10,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,65-74 years,65-74,Male,M,39,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,75-84 years,75-84,Female,F,15,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,75-84 years,75-84,Male,M,29,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,85+ years,85+,Female,F,14,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,85+ years,85+,Male,M,14,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,45-54 years,45-54,Female,F,23,Not Applicable,Not Applicable
