Notes,Race,Race Code,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
,Black or African American,2054-5,"Stomach, unspecified - Malignant neoplasms",C16.9,55-64 years,55-64,Male,M,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stomach, unspecified - Malignant neoplasms",C16.9,65-74 years,65-74,Male,M,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,45-54 years,45-54,Male,M,21,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,55-64 years,55-64,Female,F,21,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,55-64 years,55-64,Male,M,27,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,65-74 years,65-74,Female,F,15,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,65-74 years,65-74,Male,M,27,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,75-84 years,75-84,Female,F,21,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,75-84 years,75-84,Male,M,15,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,85+ years,85+,Female,F,18,Not Applicable,Not Applicable
,Black or African American,2054-5,Liver cell carcinoma - Malignant neoplasms,C22.0,55-64 years,55-64,Male,M,17,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pancreas, unspecified - Malignant neoplasms",C25.9,55-64 years,55-64,Female,F,16,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pancreas, unspecified - Malignant neoplasms",C25.9,55-64 years,55-64,Male,M,19,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pancreas, unspecified - Malignant neoplasms",C25.9,65-74 years,65-74,Female,F,22,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pancreas, unspecified - Malignant neoplasms",C25.9,65-74 years,65-74,Male,M,15,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pancreas, unspecified - Malignant neoplasms",C25.9,75-84 years,75-84,Female,F,20,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pancreas, unspecified - Malignant neoplasms",C25.9,75-84 years,75-84,Male,M,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,45-54 years,45-54,Female,F,33,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,45-54 years,45-54,Male,M,60,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,55-64 years,55-64,Female,F,65,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,55-64 years,55-64,Male,M,106,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,65-74 years,65-74,Female,F,78,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,65-74 years,65-74,Male,M,101,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,75-84 years,75-84,Female,F,36,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,75-84 years,75-84,Male,M,76,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,85+ years,85+,Female,F,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,85+ years,85+,Male,M,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,Female,F,25,Not Applicable,Not Applicable
,Black or African American,2054-5,"Breast, unspecified - Malignant neoplasms",C50.9,45-54 years,45-54,Female,F,50,Not Applicable,Not Applicable
,Black or African American,2054-5,"Breast, unspecified - Malignant neoplasms",C50.9,55-64 years,55-64,Female,F,60,Not Applicable,Not Applicable
,Black or African American,2054-5,"Breast, unspecified - Malignant neoplasms",C50.9,65-74 years,65-74,Female,F,41,Not Applicable,Not Applicable
,Black or African American,2054-5,"Breast, unspecified - Malignant neoplasms",C50.9,75-84 years,75-84,Female,F,32,Not Applicable,Not Applicable
,Black or African American,2054-5,"Breast, unspecified - Malignant neoplasms",C50.9,85+ years,85+,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of ovary,C56,55-64 years,55-64,Female,F,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of ovary,C56,65-74 years,65-74,Female,F,15,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of ovary,C56,75-84 years,75-84,Female,F,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of prostate,C61,55-64 years,55-64,Male,M,16,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of prostate,C61,65-74 years,65-74,Male,M,33,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of prostate,C61,75-84 years,75-84,Male,M,46,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of prostate,C61,85+ years,85+,Male,M,31,Not Applicable,Not Applicable
,Black or African American,2054-5,"Malignant neoplasm of kidney, except renal pelvis",C64,55-64 years,55-64,Male,M,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Malignant neoplasm of kidney, except renal pelvis",C64,65-74 years,65-74,Male,M,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,55-64 years,55-64,Female,F,16,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,65-74 years,65-74,Female,F,21,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,65-74 years,65-74,Male,M,19,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,75-84 years,75-84,Female,F,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,75-84 years,75-84,Male,M,18,Not Applicable,Not Applicable
,Black or African American,2054-5,Multiple myeloma - Malignant neoplasms,C90.0,65-74 years,65-74,Female,F,17,Not Applicable,Not Applicable
,Black or African American,2054-5,Multiple myeloma - Malignant neoplasms,C90.0,65-74 years,65-74,Male,M,17,Not Applicable,Not Applicable
,Black or African American,2054-5,Multiple myeloma - Malignant neoplasms,C90.0,75-84 years,75-84,Female,F,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,65-74 years,65-74,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,75-84 years,75-84,Female,F,16,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,45-54 years,45-54,Female,F,18,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,45-54 years,45-54,Male,M,19,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,55-64 years,55-64,Female,F,25,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,55-64 years,55-64,Male,M,20,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,65-74 years,65-74,Female,F,43,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,65-74 years,65-74,Male,M,33,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,75-84 years,75-84,Female,F,30,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,75-84 years,75-84,Male,M,22,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,85+ years,85+,Female,F,20,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,85+ years,85+,Male,M,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified dementia,F03,65-74 years,65-74,Female,F,16,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified dementia,F03,65-74 years,65-74,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified dementia,F03,75-84 years,75-84,Female,F,27,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified dementia,F03,75-84 years,75-84,Male,M,25,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified dementia,F03,85+ years,85+,Female,F,69,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified dementia,F03,85+ years,85+,Male,M,31,Not Applicable,Not Applicable
,Black or African American,2054-5,"Alzheimer disease, unspecified",G30.9,75-84 years,75-84,Female,F,16,Not Applicable,Not Applicable
,Black or African American,2054-5,"Alzheimer disease, unspecified",G30.9,75-84 years,75-84,Male,M,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Alzheimer disease, unspecified",G30.9,85+ years,85+,Female,F,35,Not Applicable,Not Applicable
,Black or African American,2054-5,"Alzheimer disease, unspecified",G30.9,85+ years,85+,Male,M,15,Not Applicable,Not Applicable
,Black or African American,2054-5,"Anoxic brain damage, not elsewhere classified",G93.1,45-54 years,45-54,Female,F,15,Not Applicable,Not Applicable
,Black or African American,2054-5,"Anoxic brain damage, not elsewhere classified",G93.1,55-64 years,55-64,Female,F,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Anoxic brain damage, not elsewhere classified",G93.1,55-64 years,55-64,Male,M,17,Not Applicable,Not Applicable
,Black or African American,2054-5,"Anoxic brain damage, not elsewhere classified",G93.1,65-74 years,65-74,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Anoxic brain damage, not elsewhere classified",G93.1,75-84 years,75-84,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Essential (primary) hypertension,I10,45-54 years,45-54,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Essential (primary) hypertension,I10,55-64 years,55-64,Male,M,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Essential (primary) hypertension,I10,75-84 years,75-84,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Essential (primary) hypertension,I10,85+ years,85+,Female,F,21,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive heart disease with (congestive) heart failure,I11.0,85+ years,85+,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive renal disease with renal failure,I12.0,55-64 years,55-64,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive renal disease with renal failure,I12.0,65-74 years,65-74,Male,M,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,45-54 years,45-54,Female,F,37,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,45-54 years,45-54,Male,M,38,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,55-64 years,55-64,Female,F,50,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,55-64 years,55-64,Male,M,61,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,65-74 years,65-74,Female,F,63,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,65-74 years,65-74,Male,M,82,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,75-84 years,75-84,Female,F,102,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,75-84 years,75-84,Male,M,64,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,85+ years,85+,Female,F,91,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,85+ years,85+,Male,M,31,Not Applicable,Not Applicable
,Black or African American,2054-5,"Atherosclerotic cardiovascular disease, so described",I25.0,75-84 years,75-84,Female,F,15,Not Applicable,Not Applicable
,Black or African American,2054-5,"Atherosclerotic cardiovascular disease, so described",I25.0,75-84 years,75-84,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Atherosclerotic cardiovascular disease, so described",I25.0,85+ years,85+,Female,F,14,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,45-54 years,45-54,Female,F,18,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,45-54 years,45-54,Male,M,24,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,55-64 years,55-64,Female,F,35,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,55-64 years,55-64,Male,M,51,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,65-74 years,65-74,Female,F,49,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,65-74 years,65-74,Male,M,61,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,75-84 years,75-84,Female,F,60,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,75-84 years,75-84,Male,M,63,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,85+ years,85+,Female,F,57,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,85+ years,85+,Male,M,40,Not Applicable,Not Applicable
,Black or African American,2054-5,Pulmonary embolism without mention of acute cor pulmonale,I26.9,55-64 years,55-64,Female,F,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Pulmonary embolism without mention of acute cor pulmonale,I26.9,55-64 years,55-64,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Pulmonary embolism without mention of acute cor pulmonale,I26.9,85+ years,85+,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiomyopathy, unspecified",I42.9,45-54 years,45-54,Female,F,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiomyopathy, unspecified",I42.9,45-54 years,45-54,Male,M,25,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiomyopathy, unspecified",I42.9,55-64 years,55-64,Female,F,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiomyopathy, unspecified",I42.9,55-64 years,55-64,Male,M,20,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiomyopathy, unspecified",I42.9,65-74 years,65-74,Male,M,20,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiomyopathy, unspecified",I42.9,75-84 years,75-84,Female,F,21,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiomyopathy, unspecified",I42.9,75-84 years,75-84,Male,M,20,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiac arrest, unspecified",I46.9,45-54 years,45-54,Male,M,21,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiac arrest, unspecified",I46.9,55-64 years,55-64,Female,F,24,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiac arrest, unspecified",I46.9,55-64 years,55-64,Male,M,23,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiac arrest, unspecified",I46.9,65-74 years,65-74,Female,F,23,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiac arrest, unspecified",I46.9,65-74 years,65-74,Male,M,25,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiac arrest, unspecified",I46.9,75-84 years,75-84,Female,F,28,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiac arrest, unspecified",I46.9,75-84 years,75-84,Male,M,28,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiac arrest, unspecified",I46.9,85+ years,85+,Female,F,21,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiac arrest, unspecified",I46.9,85+ years,85+,Male,M,16,Not Applicable,Not Applicable
,Black or African American,2054-5,Atrial fibrillation and flutter,I48,75-84 years,75-84,Female,F,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cardiac arrhythmia, unspecified",I49.9,75-84 years,75-84,Female,F,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Congestive heart failure,I50.0,45-54 years,45-54,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Congestive heart failure,I50.0,45-54 years,45-54,Male,M,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Congestive heart failure,I50.0,55-64 years,55-64,Female,F,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Congestive heart failure,I50.0,55-64 years,55-64,Male,M,16,Not Applicable,Not Applicable
,Black or African American,2054-5,Congestive heart failure,I50.0,65-74 years,65-74,Female,F,17,Not Applicable,Not Applicable
,Black or African American,2054-5,Congestive heart failure,I50.0,65-74 years,65-74,Male,M,23,Not Applicable,Not Applicable
,Black or African American,2054-5,Congestive heart failure,I50.0,75-84 years,75-84,Female,F,41,Not Applicable,Not Applicable
,Black or African American,2054-5,Congestive heart failure,I50.0,75-84 years,75-84,Male,M,25,Not Applicable,Not Applicable
,Black or African American,2054-5,Congestive heart failure,I50.0,85+ years,85+,Female,F,47,Not Applicable,Not Applicable
,Black or African American,2054-5,Congestive heart failure,I50.0,85+ years,85+,Male,M,22,Not Applicable,Not Applicable
,Black or African American,2054-5,"Subarachnoid haemorrhage, unspecified",I60.9,45-54 years,45-54,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Intracerebral haemorrhage, unspecified",I61.9,35-44 years,35-44,Male,M,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Intracerebral haemorrhage, unspecified",I61.9,45-54 years,45-54,Female,F,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Intracerebral haemorrhage, unspecified",I61.9,45-54 years,45-54,Male,M,21,Not Applicable,Not Applicable
,Black or African American,2054-5,"Intracerebral haemorrhage, unspecified",I61.9,55-64 years,55-64,Female,F,21,Not Applicable,Not Applicable
,Black or African American,2054-5,"Intracerebral haemorrhage, unspecified",I61.9,55-64 years,55-64,Male,M,19,Not Applicable,Not Applicable
,Black or African American,2054-5,"Intracerebral haemorrhage, unspecified",I61.9,65-74 years,65-74,Male,M,19,Not Applicable,Not Applicable
,Black or African American,2054-5,"Intracerebral haemorrhage, unspecified",I61.9,75-84 years,75-84,Male,M,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Intracerebral haemorrhage, unspecified",I61.9,85+ years,85+,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,45-54 years,45-54,Female,F,19,Not Applicable,Not Applicable
,Black or African American,2054-5,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,45-54 years,45-54,Male,M,18,Not Applicable,Not Applicable
,Black or African American,2054-5,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,55-64 years,55-64,Female,F,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,55-64 years,55-64,Male,M,16,Not Applicable,Not Applicable
,Black or African American,2054-5,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,65-74 years,65-74,Female,F,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,65-74 years,65-74,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stroke, not specified as haemorrhage or infarction",I64,45-54 years,45-54,Female,F,23,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stroke, not specified as haemorrhage or infarction",I64,45-54 years,45-54,Male,M,26,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stroke, not specified as haemorrhage or infarction",I64,55-64 years,55-64,Female,F,38,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stroke, not specified as haemorrhage or infarction",I64,55-64 years,55-64,Male,M,55,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stroke, not specified as haemorrhage or infarction",I64,65-74 years,65-74,Female,F,39,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stroke, not specified as haemorrhage or infarction",I64,65-74 years,65-74,Male,M,64,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stroke, not specified as haemorrhage or infarction",I64,75-84 years,75-84,Female,F,84,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stroke, not specified as haemorrhage or infarction",I64,75-84 years,75-84,Male,M,42,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stroke, not specified as haemorrhage or infarction",I64,85+ years,85+,Female,F,75,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stroke, not specified as haemorrhage or infarction",I64,85+ years,85+,Male,M,23,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pneumonia, unspecified",J18.9,45-54 years,45-54,Male,M,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pneumonia, unspecified",J18.9,55-64 years,55-64,Female,F,20,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pneumonia, unspecified",J18.9,55-64 years,55-64,Male,M,24,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pneumonia, unspecified",J18.9,65-74 years,65-74,Female,F,28,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pneumonia, unspecified",J18.9,65-74 years,65-74,Male,M,35,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pneumonia, unspecified",J18.9,75-84 years,75-84,Female,F,60,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pneumonia, unspecified",J18.9,75-84 years,75-84,Male,M,52,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pneumonia, unspecified",J18.9,85+ years,85+,Female,F,74,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pneumonia, unspecified",J18.9,85+ years,85+,Male,M,40,Not Applicable,Not Applicable
,Black or African American,2054-5,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,75-84 years,75-84,Male,M,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,85+ years,85+,Male,M,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Chronic obstructive pulmonary disease, unspecified",J44.9,55-64 years,55-64,Female,F,22,Not Applicable,Not Applicable
,Black or African American,2054-5,"Chronic obstructive pulmonary disease, unspecified",J44.9,55-64 years,55-64,Male,M,25,Not Applicable,Not Applicable
,Black or African American,2054-5,"Chronic obstructive pulmonary disease, unspecified",J44.9,65-74 years,65-74,Female,F,38,Not Applicable,Not Applicable
,Black or African American,2054-5,"Chronic obstructive pulmonary disease, unspecified",J44.9,65-74 years,65-74,Male,M,34,Not Applicable,Not Applicable
,Black or African American,2054-5,"Chronic obstructive pulmonary disease, unspecified",J44.9,75-84 years,75-84,Female,F,31,Not Applicable,Not Applicable
,Black or African American,2054-5,"Chronic obstructive pulmonary disease, unspecified",J44.9,75-84 years,75-84,Male,M,34,Not Applicable,Not Applicable
,Black or African American,2054-5,"Chronic obstructive pulmonary disease, unspecified",J44.9,85+ years,85+,Female,F,23,Not Applicable,Not Applicable
,Black or African American,2054-5,"Chronic obstructive pulmonary disease, unspecified",J44.9,85+ years,85+,Male,M,16,Not Applicable,Not Applicable
,Black or African American,2054-5,Pneumonitis due to food and vomit,J69.0,55-64 years,55-64,Male,M,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Pneumonitis due to food and vomit,J69.0,65-74 years,65-74,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Pneumonitis due to food and vomit,J69.0,65-74 years,65-74,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Pneumonitis due to food and vomit,J69.0,75-84 years,75-84,Female,F,15,Not Applicable,Not Applicable
,Black or African American,2054-5,Pneumonitis due to food and vomit,J69.0,75-84 years,75-84,Male,M,17,Not Applicable,Not Applicable
,Black or African American,2054-5,Pneumonitis due to food and vomit,J69.0,85+ years,85+,Female,F,30,Not Applicable,Not Applicable
,Black or African American,2054-5,Pneumonitis due to food and vomit,J69.0,85+ years,85+,Male,M,17,Not Applicable,Not Applicable
,Black or African American,2054-5,Other interstitial pulmonary diseases with fibrosis,J84.1,55-64 years,55-64,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Other and unspecified intestinal obstruction,K56.6,85+ years,85+,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Other and unspecified cirrhosis of liver,K74.6,45-54 years,45-54,Male,M,20,Not Applicable,Not Applicable
,Black or African American,2054-5,Other and unspecified cirrhosis of liver,K74.6,55-64 years,55-64,Male,M,25,Not Applicable,Not Applicable
,Black or African American,2054-5,"Liver disease, unspecified",K76.9,45-54 years,45-54,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Gastrointestinal haemorrhage, unspecified",K92.2,75-84 years,75-84,Female,F,15,Not Applicable,Not Applicable
,Black or African American,2054-5,Decubitus ulcer,L89,85+ years,85+,Female,F,11,Not Applicable,Not Applicable
