Notes,Race,Race Code,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
,American Indian or Alaska Native,1002-5,"Stroke, not specified as haemorrhage or infarction",I64,85+ years,85+,Female,F,16,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,"Pneumonia, unspecified",J18.9,85+ years,85+,Female,F,10,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,"Chronic obstructive pulmonary disease, unspecified",J44.9,65-74 years,65-74,Male,M,13,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,"Chronic obstructive pulmonary disease, unspecified",J44.9,75-84 years,75-84,Male,M,13,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,Alcoholic cirrhosis of liver,K70.3,45-54 years,45-54,Male,M,10,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Colon, unspecified - Malignant neoplasms",C18.9,65-74 years,65-74,Male,M,10,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,55-64 years,55-64,Female,F,13,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,55-64 years,55-64,Male,M,15,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,65-74 years,65-74,Male,M,12,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Breast, unspecified - Malignant neoplasms",C50.9,45-54 years,45-54,Female,F,14,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Unspecified diabetes mellitus, without complications",E14.9,55-64 years,55-64,Male,M,10,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Unspecified diabetes mellitus, without complications",E14.9,65-74 years,65-74,Female,F,10,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Acute myocardial infarction, unspecified",I21.9,45-54 years,45-54,Male,M,16,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Acute myocardial infarction, unspecified",I21.9,55-64 years,55-64,Female,F,12,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Acute myocardial infarction, unspecified",I21.9,55-64 years,55-64,Male,M,27,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Acute myocardial infarction, unspecified",I21.9,65-74 years,65-74,Female,F,33,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Acute myocardial infarction, unspecified",I21.9,65-74 years,65-74,Male,M,40,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Acute myocardial infarction, unspecified",I21.9,75-84 years,75-84,Female,F,37,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Acute myocardial infarction, unspecified",I21.9,75-84 years,75-84,Male,M,29,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Acute myocardial infarction, unspecified",I21.9,85+ years,85+,Female,F,15,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Acute myocardial infarction, unspecified",I21.9,85+ years,85+,Male,M,14,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,Atherosclerotic heart disease,I25.1,55-64 years,55-64,Male,M,14,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,Atherosclerotic heart disease,I25.1,65-74 years,65-74,Female,F,10,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,Atherosclerotic heart disease,I25.1,65-74 years,65-74,Male,M,14,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,Atherosclerotic heart disease,I25.1,75-84 years,75-84,Female,F,21,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,Atherosclerotic heart disease,I25.1,75-84 years,75-84,Male,M,21,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,Atherosclerotic heart disease,I25.1,85+ years,85+,Female,F,11,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Stroke, not specified as haemorrhage or infarction",I64,75-84 years,75-84,Female,F,15,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Stroke, not specified as haemorrhage or infarction",I64,85+ years,85+,Female,F,10,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Pneumonia, unspecified",J18.9,75-84 years,75-84,Female,F,11,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Pneumonia, unspecified",J18.9,85+ years,85+,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",A16.2,55-64 years,55-64,Male,M,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Septicaemia due to Staphylococcus aureus,A41.0,75-84 years,75-84,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Septicaemia due to unspecified staphylococcus,A41.2,65-74 years,65-74,Male,M,17,Not Applicable,Not Applicable
,Black or African American,2054-5,Septicaemia due to unspecified staphylococcus,A41.2,75-84 years,75-84,Male,M,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Septicaemia due to unspecified staphylococcus,A41.2,85+ years,85+,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Septicaemia due to other Gram-negative organisms,A41.5,65-74 years,65-74,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Septicaemia due to other Gram-negative organisms,A41.5,65-74 years,65-74,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Septicaemia due to other Gram-negative organisms,A41.5,75-84 years,75-84,Male,M,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Septicaemia due to other Gram-negative organisms,A41.5,85+ years,85+,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,< 1 year,1,Female,F,22,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,< 1 year,1,Male,M,28,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,15-24 years,15-24,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,25-34 years,25-34,Female,F,21,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,25-34 years,25-34,Male,M,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,35-44 years,35-44,Female,F,50,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,35-44 years,35-44,Male,M,64,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,45-54 years,45-54,Female,F,102,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,45-54 years,45-54,Male,M,120,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,55-64 years,55-64,Female,F,157,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,55-64 years,55-64,Male,M,180,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,65-74 years,65-74,Female,F,283,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,65-74 years,65-74,Male,M,258,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,75-84 years,75-84,Female,F,404,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,75-84 years,75-84,Male,M,291,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,85+ years,85+,Female,F,391,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,85+ years,85+,Male,M,179,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bacterial infection, unspecified",A49.9,75-84 years,75-84,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bacterial infection, unspecified",A49.9,85+ years,85+,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Acute hepatitis B without delta-agent and without hepatic coma,B16.9,45-54 years,45-54,Male,M,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Acute hepatitis C,B17.1,35-44 years,35-44,Female,F,14,Not Applicable,Not Applicable
,Black or African American,2054-5,Acute hepatitis C,B17.1,35-44 years,35-44,Male,M,21,Not Applicable,Not Applicable
,Black or African American,2054-5,Acute hepatitis C,B17.1,45-54 years,45-54,Female,F,14,Not Applicable,Not Applicable
,Black or African American,2054-5,Acute hepatitis C,B17.1,45-54 years,45-54,Male,M,65,Not Applicable,Not Applicable
,Black or African American,2054-5,Acute hepatitis C,B17.1,55-64 years,55-64,Male,M,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Acute hepatitis C,B17.1,65-74 years,65-74,Female,F,12,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in mycobacterial infection,B20.0,35-44 years,35-44,Male,M,18,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other bacterial infections,B20.1,25-34 years,25-34,Female,F,30,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other bacterial infections,B20.1,25-34 years,25-34,Male,M,42,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other bacterial infections,B20.1,35-44 years,35-44,Female,F,53,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other bacterial infections,B20.1,35-44 years,35-44,Male,M,100,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other bacterial infections,B20.1,45-54 years,45-54,Female,F,21,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other bacterial infections,B20.1,45-54 years,45-54,Male,M,67,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other bacterial infections,B20.1,55-64 years,55-64,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other viral infections,B20.3,35-44 years,35-44,Male,M,25,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other viral infections,B20.3,45-54 years,45-54,Male,M,19,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other mycoses,B20.5,25-34 years,25-34,Male,M,14,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other mycoses,B20.5,35-44 years,35-44,Male,M,29,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other mycoses,B20.5,45-54 years,45-54,Male,M,22,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in Pneumocystis carinii pneumonia,B20.6,25-34 years,25-34,Female,F,18,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in Pneumocystis carinii pneumonia,B20.6,25-34 years,25-34,Male,M,24,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in Pneumocystis carinii pneumonia,B20.6,35-44 years,35-44,Female,F,16,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in Pneumocystis carinii pneumonia,B20.6,35-44 years,35-44,Male,M,41,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in Pneumocystis carinii pneumonia,B20.6,45-54 years,45-54,Male,M,34,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in multiple infections,B20.7,25-34 years,25-34,Female,F,35,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in multiple infections,B20.7,25-34 years,25-34,Male,M,51,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in multiple infections,B20.7,35-44 years,35-44,Female,F,40,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in multiple infections,B20.7,35-44 years,35-44,Male,M,111,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in multiple infections,B20.7,45-54 years,45-54,Female,F,19,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in multiple infections,B20.7,45-54 years,45-54,Male,M,67,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in multiple infections,B20.7,55-64 years,55-64,Male,M,11,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other infectious and parasitic diseases,B20.8,25-34 years,25-34,Female,F,28,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other infectious and parasitic diseases,B20.8,25-34 years,25-34,Male,M,56,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other infectious and parasitic diseases,B20.8,35-44 years,35-44,Female,F,41,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other infectious and parasitic diseases,B20.8,35-44 years,35-44,Male,M,97,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other infectious and parasitic diseases,B20.8,45-54 years,45-54,Female,F,15,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other infectious and parasitic diseases,B20.8,45-54 years,45-54,Male,M,59,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other infectious and parasitic diseases,B20.8,55-64 years,55-64,Male,M,14,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease with other types of non-Hodgkin lymphoma,B21.2,35-44 years,35-44,Male,M,23,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease with other types of non-Hodgkin lymphoma,B21.2,45-54 years,45-54,Male,M,12,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in encephalopathy,B22.0,25-34 years,25-34,Male,M,11,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in multiple diseases classified elsewhere,B22.7,25-34 years,25-34,Male,M,26,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in multiple diseases classified elsewhere,B22.7,35-44 years,35-44,Female,F,26,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in multiple diseases classified elsewhere,B22.7,35-44 years,35-44,Male,M,50,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in multiple diseases classified elsewhere,B22.7,45-54 years,45-54,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in multiple diseases classified elsewhere,B22.7,45-54 years,45-54,Male,M,29,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in multiple diseases classified elsewhere,B22.7,55-64 years,55-64,Male,M,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified",B23.2,25-34 years,25-34,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified",B23.2,35-44 years,35-44,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified",B23.2,35-44 years,35-44,Male,M,18,Not Applicable,Not Applicable
,Black or African American,2054-5,"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified",B23.2,45-54 years,45-54,Male,M,18,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other specified conditions,B23.8,25-34 years,25-34,Female,F,60,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other specified conditions,B23.8,25-34 years,25-34,Male,M,90,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other specified conditions,B23.8,35-44 years,35-44,Female,F,104,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other specified conditions,B23.8,35-44 years,35-44,Male,M,173,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other specified conditions,B23.8,45-54 years,45-54,Female,F,39,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other specified conditions,B23.8,45-54 years,45-54,Male,M,110,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other specified conditions,B23.8,55-64 years,55-64,Female,F,13,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other specified conditions,B23.8,55-64 years,55-64,Male,M,33,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other specified conditions,B23.8,65-74 years,65-74,Male,M,24,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified human immunodeficiency virus [HIV] disease,B24,25-34 years,25-34,Female,F,43,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified human immunodeficiency virus [HIV] disease,B24,25-34 years,25-34,Male,M,51,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified human immunodeficiency virus [HIV] disease,B24,35-44 years,35-44,Female,F,45,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified human immunodeficiency virus [HIV] disease,B24,35-44 years,35-44,Male,M,103,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified human immunodeficiency virus [HIV] disease,B24,45-54 years,45-54,Female,F,24,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified human immunodeficiency virus [HIV] disease,B24,45-54 years,45-54,Male,M,64,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified human immunodeficiency virus [HIV] disease,B24,55-64 years,55-64,Female,F,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified human immunodeficiency virus [HIV] disease,B24,55-64 years,55-64,Male,M,26,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified mycosis,B49,65-74 years,65-74,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Sequelae of other specified infectious and parasitic diseases,B94.8,35-44 years,35-44,Female,F,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Sequelae of other specified infectious and parasitic diseases,B94.8,45-54 years,45-54,Female,F,16,Not Applicable,Not Applicable
,Black or African American,2054-5,Sequelae of other specified infectious and parasitic diseases,B94.8,45-54 years,45-54,Male,M,16,Not Applicable,Not Applicable
,Black or African American,2054-5,Sequelae of other specified infectious and parasitic diseases,B94.8,55-64 years,55-64,Male,M,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Tongue, unspecified - Malignant neoplasms",C02.9,45-54 years,45-54,Male,M,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Tongue, unspecified - Malignant neoplasms",C02.9,55-64 years,55-64,Male,M,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Oropharynx, unspecified - Malignant neoplasms",C10.9,45-54 years,45-54,Male,M,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pharynx, unspecified - Malignant neoplasms",C14.0,45-54 years,45-54,Male,M,19,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pharynx, unspecified - Malignant neoplasms",C14.0,55-64 years,55-64,Male,M,20,Not Applicable,Not Applicable
,Black or African American,2054-5,"Oesophagus, unspecified - Malignant neoplasms",C15.9,35-44 years,35-44,Male,M,23,Not Applicable,Not Applicable
,Black or African American,2054-5,"Oesophagus, unspecified - Malignant neoplasms",C15.9,45-54 years,45-54,Female,F,16,Not Applicable,Not Applicable
,Black or African American,2054-5,"Oesophagus, unspecified - Malignant neoplasms",C15.9,45-54 years,45-54,Male,M,71,Not Applicable,Not Applicable
,Black or African American,2054-5,"Oesophagus, unspecified - Malignant neoplasms",C15.9,55-64 years,55-64,Female,F,31,Not Applicable,Not Applicable
,Black or African American,2054-5,"Oesophagus, unspecified - Malignant neoplasms",C15.9,55-64 years,55-64,Male,M,114,Not Applicable,Not Applicable
,Black or African American,2054-5,"Oesophagus, unspecified - Malignant neoplasms",C15.9,65-74 years,65-74,Female,F,45,Not Applicable,Not Applicable
,Black or African American,2054-5,"Oesophagus, unspecified - Malignant neoplasms",C15.9,65-74 years,65-74,Male,M,85,Not Applicable,Not Applicable
,Black or African American,2054-5,"Oesophagus, unspecified - Malignant neoplasms",C15.9,75-84 years,75-84,Female,F,21,Not Applicable,Not Applicable
,Black or African American,2054-5,"Oesophagus, unspecified - Malignant neoplasms",C15.9,75-84 years,75-84,Male,M,43,Not Applicable,Not Applicable
,Black or African American,2054-5,"Oesophagus, unspecified - Malignant neoplasms",C15.9,85+ years,85+,Male,M,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stomach, unspecified - Malignant neoplasms",C16.9,35-44 years,35-44,Female,F,15,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stomach, unspecified - Malignant neoplasms",C16.9,35-44 years,35-44,Male,M,22,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stomach, unspecified - Malignant neoplasms",C16.9,45-54 years,45-54,Female,F,25,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stomach, unspecified - Malignant neoplasms",C16.9,45-54 years,45-54,Male,M,40,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stomach, unspecified - Malignant neoplasms",C16.9,55-64 years,55-64,Female,F,30,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stomach, unspecified - Malignant neoplasms",C16.9,55-64 years,55-64,Male,M,57,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stomach, unspecified - Malignant neoplasms",C16.9,65-74 years,65-74,Female,F,45,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stomach, unspecified - Malignant neoplasms",C16.9,65-74 years,65-74,Male,M,70,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stomach, unspecified - Malignant neoplasms",C16.9,75-84 years,75-84,Female,F,50,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stomach, unspecified - Malignant neoplasms",C16.9,75-84 years,75-84,Male,M,70,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stomach, unspecified - Malignant neoplasms",C16.9,85+ years,85+,Female,F,30,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stomach, unspecified - Malignant neoplasms",C16.9,85+ years,85+,Male,M,23,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,35-44 years,35-44,Female,F,31,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,35-44 years,35-44,Male,M,29,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,45-54 years,45-54,Female,F,87,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,45-54 years,45-54,Male,M,76,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,55-64 years,55-64,Female,F,117,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,55-64 years,55-64,Male,M,149,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,65-74 years,65-74,Female,F,173,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,65-74 years,65-74,Male,M,191,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,75-84 years,75-84,Female,F,188,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,75-84 years,75-84,Male,M,163,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,85+ years,85+,Female,F,117,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,85+ years,85+,Male,M,49,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of rectosigmoid junction,C19,55-64 years,55-64,Male,M,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of rectosigmoid junction,C19,65-74 years,65-74,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of rectum,C20,45-54 years,45-54,Male,M,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of rectum,C20,55-64 years,55-64,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of rectum,C20,55-64 years,55-64,Male,M,34,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of rectum,C20,65-74 years,65-74,Female,F,16,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of rectum,C20,65-74 years,65-74,Male,M,24,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of rectum,C20,75-84 years,75-84,Female,F,18,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of rectum,C20,75-84 years,75-84,Male,M,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Liver cell carcinoma - Malignant neoplasms,C22.0,35-44 years,35-44,Male,M,16,Not Applicable,Not Applicable
,Black or African American,2054-5,Liver cell carcinoma - Malignant neoplasms,C22.0,45-54 years,45-54,Male,M,47,Not Applicable,Not Applicable
,Black or African American,2054-5,Liver cell carcinoma - Malignant neoplasms,C22.0,55-64 years,55-64,Male,M,23,Not Applicable,Not Applicable
,Black or African American,2054-5,Liver cell carcinoma - Malignant neoplasms,C22.0,65-74 years,65-74,Female,F,16,Not Applicable,Not Applicable
,Black or African American,2054-5,Liver cell carcinoma - Malignant neoplasms,C22.0,65-74 years,65-74,Male,M,21,Not Applicable,Not Applicable
