Notes,ICD-10 113 Cause List,ICD-10 113 Cause List Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Year,Year Code,Deaths,Population,Crude Rate
,#Salmonella infections (A01-A02),GR113-001,55-64 years,55-64,Female,F,2008,2008,1,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,55-64 years,55-64,Female,F,2010,2010,2,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,55-64 years,55-64,Female,F,2012,2012,2,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,55-64 years,55-64,Female,F,2014,2014,4,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,55-64 years,55-64,Female,F,2016,2016,3,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,55-64 years,55-64,Female,F,2018,2018,4,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,55-64 years,55-64,Male,M,2008,2008,1,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,55-64 years,55-64,Male,M,2010,2010,2,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,55-64 years,55-64,Male,M,2012,2012,1,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,55-64 years,55-64,Male,M,2014,2014,3,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,55-64 years,55-64,Male,M,2016,2016,4,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,55-64 years,55-64,Male,M,2018,2018,5,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,65-74 years,65-74,Female,F,2008,2008,4,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,65-74 years,65-74,Female,F,2010,2010,1,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,65-74 years,65-74,Female,F,2012,2012,8,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,65-74 years,65-74,Female,F,2014,2014,2,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,65-74 years,65-74,Female,F,2016,2016,2,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,65-74 years,65-74,Female,F,2018,2018,7,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,65-74 years,65-74,Male,M,2008,2008,4,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,65-74 years,65-74,Male,M,2010,2010,2,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,65-74 years,65-74,Male,M,2012,2012,2,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,65-74 years,65-74,Male,M,2014,2014,6,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,65-74 years,65-74,Male,M,2016,2016,4,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,65-74 years,65-74,Male,M,2018,2018,6,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,75-84 years,75-84,Female,F,2008,2008,4,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,75-84 years,75-84,Female,F,2010,2010,4,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,75-84 years,75-84,Female,F,2012,2012,3,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,75-84 years,75-84,Female,F,2014,2014,2,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,75-84 years,75-84,Female,F,2016,2016,8,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,75-84 years,75-84,Female,F,2018,2018,7,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,75-84 years,75-84,Male,M,2008,2008,2,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,75-84 years,75-84,Male,M,2010,2010,3,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,75-84 years,75-84,Male,M,2012,2012,4,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,75-84 years,75-84,Male,M,2014,2014,5,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,75-84 years,75-84,Male,M,2016,2016,7,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,75-84 years,75-84,Male,M,2018,2018,8,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,85+ years,85+,Female,F,2008,2008,5,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,85+ years,85+,Female,F,2010,2010,1,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,85+ years,85+,Female,F,2012,2012,3,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,85+ years,85+,Female,F,2014,2014,2,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,85+ years,85+,Female,F,2016,2016,2,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,85+ years,85+,Female,F,2018,2018,3,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,85+ years,85+,Male,M,2008,2008,3,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,85+ years,85+,Male,M,2010,2010,2,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,85+ years,85+,Male,M,2012,2012,3,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,85+ years,85+,Male,M,2014,2014,2,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,85+ years,85+,Male,M,2016,2016,2,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,85+ years,85+,Male,M,2018,2018,2,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,5-14 years,14-May,Female,F,2014,2014,1,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,15-24 years,15-24,Female,F,2014,2014,1,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,15-24 years,15-24,Female,F,2016,2016,1,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,15-24 years,15-24,Male,M,2010,2010,1,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,25-34 years,25-34,Female,F,2010,2010,1,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,35-44 years,35-44,Female,F,2016,2016,1,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,35-44 years,35-44,Male,M,2008,2008,1,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,45-54 years,45-54,Female,F,2012,2012,1,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,45-54 years,45-54,Female,F,2018,2018,1,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,45-54 years,45-54,Male,M,2012,2012,1,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,45-54 years,45-54,Male,M,2014,2014,1,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,55-64 years,55-64,Female,F,2008,2008,2,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,55-64 years,55-64,Male,M,2008,2008,1,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,55-64 years,55-64,Male,M,2012,2012,2,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,55-64 years,55-64,Male,M,2018,2018,1,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,65-74 years,65-74,Female,F,2014,2014,1,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,65-74 years,65-74,Female,F,2016,2016,1,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,65-74 years,65-74,Male,M,2008,2008,1,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,75-84 years,75-84,Female,F,2010,2010,1,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,75-84 years,75-84,Female,F,2014,2014,1,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,75-84 years,75-84,Male,M,2008,2008,1,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,75-84 years,75-84,Male,M,2012,2012,2,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,75-84 years,75-84,Male,M,2014,2014,1,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,75-84 years,75-84,Male,M,2018,2018,1,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,85+ years,85+,Female,F,2012,2012,1,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,85+ years,85+,Female,F,2014,2014,1,Not Applicable,Not Applicable
,"#Shigellosis and amebiasis (A03,A06)",GR113-002,85+ years,85+,Female,F,2018,2018,1,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,< 1 year,1,Female,F,2016,2016,1,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,1-4 years,4-Jan,Female,F,2008,2008,2,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,1-4 years,4-Jan,Female,F,2010,2010,1,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,1-4 years,4-Jan,Female,F,2012,2012,1,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,1-4 years,4-Jan,Female,F,2018,2018,1,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,1-4 years,4-Jan,Male,M,2012,2012,1,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,1-4 years,4-Jan,Male,M,2018,2018,1,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,5-14 years,14-May,Female,F,2008,2008,1,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,5-14 years,14-May,Female,F,2010,2010,3,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,5-14 years,14-May,Female,F,2014,2014,1,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,5-14 years,14-May,Male,M,2008,2008,2,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,15-24 years,15-24,Female,F,2008,2008,2,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,15-24 years,15-24,Female,F,2010,2010,4,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,15-24 years,15-24,Female,F,2012,2012,3,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,15-24 years,15-24,Female,F,2014,2014,1,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,15-24 years,15-24,Female,F,2016,2016,2,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,15-24 years,15-24,Female,F,2018,2018,4,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,15-24 years,15-24,Male,M,2008,2008,4,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,15-24 years,15-24,Male,M,2010,2010,1,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,15-24 years,15-24,Male,M,2014,2014,1,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,15-24 years,15-24,Male,M,2016,2016,2,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,15-24 years,15-24,Male,M,2018,2018,4,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,25-34 years,25-34,Female,F,2008,2008,1,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,25-34 years,25-34,Female,F,2010,2010,3,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,25-34 years,25-34,Female,F,2012,2012,4,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,25-34 years,25-34,Female,F,2014,2014,2,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,25-34 years,25-34,Female,F,2016,2016,3,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,25-34 years,25-34,Female,F,2018,2018,5,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,25-34 years,25-34,Male,M,2008,2008,9,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,25-34 years,25-34,Male,M,2010,2010,6,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,25-34 years,25-34,Male,M,2012,2012,2,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,25-34 years,25-34,Male,M,2014,2014,5,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,25-34 years,25-34,Male,M,2016,2016,5,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,25-34 years,25-34,Male,M,2018,2018,4,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,35-44 years,35-44,Female,F,2008,2008,4,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,35-44 years,35-44,Female,F,2010,2010,9,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,35-44 years,35-44,Female,F,2012,2012,4,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,35-44 years,35-44,Female,F,2014,2014,5,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,35-44 years,35-44,Female,F,2016,2016,12,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,35-44 years,35-44,Female,F,2018,2018,2,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,35-44 years,35-44,Male,M,2008,2008,15,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,35-44 years,35-44,Male,M,2010,2010,10,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,35-44 years,35-44,Male,M,2012,2012,7,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,35-44 years,35-44,Male,M,2014,2014,11,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,35-44 years,35-44,Male,M,2016,2016,14,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,35-44 years,35-44,Male,M,2018,2018,15,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,45-54 years,45-54,Female,F,2008,2008,17,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,45-54 years,45-54,Female,F,2010,2010,10,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,45-54 years,45-54,Female,F,2012,2012,10,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,45-54 years,45-54,Female,F,2014,2014,9,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,45-54 years,45-54,Female,F,2016,2016,10,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,45-54 years,45-54,Female,F,2018,2018,6,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,45-54 years,45-54,Male,M,2008,2008,51,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,45-54 years,45-54,Male,M,2010,2010,39,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,45-54 years,45-54,Male,M,2012,2012,38,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,45-54 years,45-54,Male,M,2014,2014,28,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,45-54 years,45-54,Male,M,2016,2016,30,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,45-54 years,45-54,Male,M,2018,2018,38,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,55-64 years,55-64,Female,F,2008,2008,22,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,55-64 years,55-64,Female,F,2010,2010,25,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,55-64 years,55-64,Female,F,2012,2012,20,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,55-64 years,55-64,Female,F,2014,2014,22,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,55-64 years,55-64,Female,F,2016,2016,27,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,55-64 years,55-64,Female,F,2018,2018,23,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,55-64 years,55-64,Male,M,2008,2008,51,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,55-64 years,55-64,Male,M,2010,2010,61,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,55-64 years,55-64,Male,M,2012,2012,63,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,55-64 years,55-64,Male,M,2014,2014,50,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,55-64 years,55-64,Male,M,2016,2016,50,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,55-64 years,55-64,Male,M,2018,2018,55,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,65-74 years,65-74,Female,F,2008,2008,23,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,65-74 years,65-74,Female,F,2010,2010,27,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,65-74 years,65-74,Female,F,2012,2012,22,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,65-74 years,65-74,Female,F,2014,2014,26,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,65-74 years,65-74,Female,F,2016,2016,30,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,65-74 years,65-74,Female,F,2018,2018,24,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,65-74 years,65-74,Male,M,2008,2008,67,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,65-74 years,65-74,Male,M,2010,2010,58,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,65-74 years,65-74,Male,M,2012,2012,49,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,65-74 years,65-74,Male,M,2014,2014,42,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,65-74 years,65-74,Male,M,2016,2016,63,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,65-74 years,65-74,Male,M,2018,2018,52,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,75-84 years,75-84,Female,F,2008,2008,38,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,75-84 years,75-84,Female,F,2010,2010,41,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,75-84 years,75-84,Female,F,2012,2012,40,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,75-84 years,75-84,Female,F,2014,2014,32,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,75-84 years,75-84,Female,F,2016,2016,33,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,75-84 years,75-84,Female,F,2018,2018,37,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,75-84 years,75-84,Male,M,2008,2008,64,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,75-84 years,75-84,Male,M,2010,2010,53,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,75-84 years,75-84,Male,M,2012,2012,49,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,75-84 years,75-84,Male,M,2014,2014,55,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,75-84 years,75-84,Male,M,2016,2016,47,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,75-84 years,75-84,Male,M,2018,2018,53,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,85+ years,85+,Female,F,2008,2008,34,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,85+ years,85+,Female,F,2010,2010,28,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,85+ years,85+,Female,F,2012,2012,21,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,85+ years,85+,Female,F,2014,2014,25,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,85+ years,85+,Female,F,2016,2016,32,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,85+ years,85+,Female,F,2018,2018,24,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,85+ years,85+,Male,M,2008,2008,36,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,85+ years,85+,Male,M,2010,2010,34,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,85+ years,85+,Male,M,2012,2012,26,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,85+ years,85+,Male,M,2014,2014,46,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,85+ years,85+,Male,M,2016,2016,40,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,85+ years,85+,Male,M,2018,2018,35,Not Applicable,Not Applicable
,#Tuberculosis (A16-A19),GR113-004,Not Stated,NS,Male,M,2010,2010,1,Not Applicable,Not Applicable
,#Whooping cough (A37),GR113-007,< 1 year,1,Female,F,2008,2008,10,Not Applicable,Not Applicable
,#Whooping cough (A37),GR113-007,< 1 year,1,Female,F,2010,2010,12,Not Applicable,Not Applicable
,#Whooping cough (A37),GR113-007,< 1 year,1,Female,F,2012,2012,7,Not Applicable,Not Applicable
,#Whooping cough (A37),GR113-007,< 1 year,1,Female,F,2014,2014,3,Not Applicable,Not Applicable
,#Whooping cough (A37),GR113-007,< 1 year,1,Female,F,2016,2016,5,Not Applicable,Not Applicable
,#Whooping cough (A37),GR113-007,< 1 year,1,Female,F,2018,2018,2,Not Applicable,Not Applicable
,#Whooping cough (A37),GR113-007,< 1 year,1,Male,M,2008,2008,8,Not Applicable,Not Applicable
,#Whooping cough (A37),GR113-007,< 1 year,1,Male,M,2010,2010,13,Not Applicable,Not Applicable
,#Whooping cough (A37),GR113-007,< 1 year,1,Male,M,2012,2012,8,Not Applicable,Not Applicable
,#Whooping cough (A37),GR113-007,< 1 year,1,Male,M,2014,2014,7,Not Applicable,Not Applicable
,#Whooping cough (A37),GR113-007,< 1 year,1,Male,M,2016,2016,3,Not Applicable,Not Applicable
,#Whooping cough (A37),GR113-007,< 1 year,1,Male,M,2018,2018,2,Not Applicable,Not Applicable
,#Whooping cough (A37),GR113-007,1-4 years,4-Jan,Male,M,2012,2012,1,Not Applicable,Not Applicable
,#Whooping cough (A37),GR113-007,5-14 years,14-May,Male,M,2014,2014,1,Not Applicable,Not Applicable
,#Whooping cough (A37),GR113-007,65-74 years,65-74,Female,F,2018,2018,2,Not Applicable,Not Applicable
,#Whooping cough (A37),GR113-007,65-74 years,65-74,Male,M,2016,2016,1,Not Applicable,Not Applicable
,#Whooping cough (A37),GR113-007,85+ years,85+,Female,F,2016,2016,1,Not Applicable,Not Applicable
,#Whooping cough (A37),GR113-007,85+ years,85+,Male,M,2016,2016,1,Not Applicable,Not Applicable
,#Whooping cough (A37),GR113-007,85+ years,85+,Male,M,2018,2018,1,Not Applicable,Not Applicable
,"#Scarlet fever and erysipelas (A38,A46)",GR113-008,< 1 year,1,Female,F,2012,2012,1,Not Applicable,Not Applicable
,"#Scarlet fever and erysipelas (A38,A46)",GR113-008,15-24 years,15-24,Female,F,2010,2010,1,Not Applicable,Not Applicable
,"#Scarlet fever and erysipelas (A38,A46)",GR113-008,25-34 years,25-34,Male,M,2012,2012,1,Not Applicable,Not Applicable
